"","N.lci","N.uci","phi.lci","phi.uci"
"i=1",NA,NA,-1.19,2.315
"i=2",-Inf,Inf,-0.787,2.675
"i=3",-Inf,Inf,-0.082,2.154
"i=4",-457,2337.7,-0.064,1.716
"i=5",-572.4,4787,-0.065,1.362
"i=6",-176,2754.4,-Inf,Inf
"i=7",-Inf,Inf,NA,NA
"i=8",NA,NA,NA,NA
