"","M","M.se","N","N.se","phi","phi.se","B","B.se","B_star"
"i=1",NA,NA,NA,NA,0.562,0.894,NA,NA,NA
"i=2",4.5,7,40.5,Inf,0.944,0.883,658,Inf,294.07906699769
"i=3",11.8,8.8,696.2,Inf,1.036,0.57,218.9,Inf,93.395846085472
"i=4",72.3,38.8,940.3,712.9,0.826,0.454,1330.5,1247.4,634.816362300181
"i=5",99.4,44.1,2107.3,1367.2,0.649,0.364,-77.8,802.6,-41.6164176322828
"i=6",130,66.8,1289.2,747.6,1.46,Inf,1640.8,Inf,586.239490806749
"i=7",346,Inf,3522.9,Inf,NA,NA,NA,NA,NA
"i=8",NA,NA,NA,NA,NA,NA,NA,NA,NA
